대체투자 411060 ACE KRX금현물 11주 16.62%
채권형 476760 ACE 미국30년국채액티브 3주 1.5%
주식형 360200 ACE 미국S&P500 7주 9.91%
주식형 294400 KIWOOM 200TR 4주 32.2%
주식형 278530 KODEX 200TR 3주 6.66%
채권형 468380 KODEX iShares미국하이일드액티브 3주 1.81%
채권형 308620 KODEX 미국10년국채선물 4주 2.53%
주식형 379810 KODEX 미국나스닥100 4주 5.91%
주식형 453810 KODEX 인도Nifty50 3주 1.9%
주식형 283580 KODEX 차이나CSI300 2주 1.73%
채권형 385560 RISE KIS국고채30년Enhanced 3주 8.45%
현금성자산 357870 TIGER CD금리투자KIS(합성) 2주 5.73%
현금성자산 456610 TIGER 미국달러SOFR금리액티브(합성) 1주 3.25%
주식형 241180 TIGER 일본니케이225 1주 1.81%
