대체투자 411060 ACE KRX금현물 11주 15.69%
채권형 476760 ACE 미국30년국채액티브 3주 1.42%
채권형 308620 KODEX 미국10년국채선물 4주 2.39%
채권형 468380 KODEX iShares미국하이일드액티브 3주 1.71%
채권형 385560 RISE KIS국고채30년Enhanced 3주 8.10%
주식형 360200 ACE 미국S&P500 8주 10.74%
주식형 294400 KIWOOM 200TR 4주 31.39%
주식형 278530 KODEX 200TR 3주 6.50%
주식형 379810 KODEX 미국나스닥100 4주 5.61%
주식형 453810 KODEX 인도Nifty50 3주 1.81%
주식형 283580 KODEX 차이나CSI300 2주 1.66%
주식형 241180 TIGER 일본니케이225 1주 1.75%
현금성자산 357870 TIGER CD금리투자KIS(합성) 3주 8.16%
현금성자산 456610 TIGER 미국달러SOFR금리액티브(합성) 1주 3.05%
